exer_id:token,assignment_id:token_seq,cpt_seq:token_seq
815,0,"[72, 213, 329, 521, 596]"
6231,0,"[72, 213, 329, 521, 596]"
4581,0,"[72, 213, 329, 521, 596]"
1326,0,"[72, 213, 329, 521, 596]"
4714,0,"[72, 213, 329, 521, 596]"
6074,0,"[72, 213, 329, 521, 596]"
4614,0,"[213, 329, 521, 596]"
5348,0,"[72, 213, 329, 521, 596]"
4682,0,"[72, 213, 329, 521, 596]"
7458,0,"[72, 213, 329, 521, 596]"
706,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
3856,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
7827,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
3989,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
8277,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
4644,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
7158,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
5342,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
1215,2,"[301, 408, 569]"
1217,2,"[223, 408, 505]"
1238,2,"[408, 505, 569]"
3736,2,"[301, 408, 569]"
3738,2,"[223, 301, 408]"
1216,2,"[458, 505, 569]"
710,2,"[223, 458, 505]"
4053,2,"[458, 505, 569]"
4202,2,"[301, 458, 569]"
4227,2,"[223, 301, 458]"
708,3,"[220, 301, 408, 449, 569]"
731,3,"[220, 223, 408, 449, 505]"
4264,3,"[220, 408, 449, 505, 569]"
6963,3,"[220, 223, 408, 449, 505]"
5813,3,"[220, 223, 301, 408, 449]"
718,3,"[276, 449, 458, 505, 569]"
741,3,"[223, 276, 449, 458, 505]"
5312,3,"[276, 301, 449, 458, 569]"
5811,3,"[223, 276, 301, 449, 458]"
817,4,"[142, 264, 301, 408, 569]"
846,4,"[142, 223, 264, 301, 408]"
7524,4,"[142, 264, 408, 505, 569]"
5533,4,"[142, 223, 264, 408, 505]"
7169,4,"[142, 264, 408, 505, 569]"
3792,4,"[142, 223, 264, 408, 505]"
836,4,"[142, 264, 301, 458, 569]"
747,4,"[142, 223, 264, 301, 458]"
3790,4,"[142, 264, 458, 505, 569]"
889,4,"[142, 223, 264, 458, 505]"
3877,4,"[142, 223, 264, 458, 505]"
7224,4,"[142, 264, 458, 505, 569]"
812,5,"[142, 220, 264, 301, 408, 449, 569]"
831,5,"[142, 220, 223, 264, 408, 449, 505]"
8366,5,"[142, 220, 264, 301, 408, 449, 569]"
8220,5,"[142, 220, 264, 408, 449, 505, 569]"
1333,5,"[142, 220, 264, 449]"
821,5,"[142, 264, 276, 449, 458, 505, 569]"
843,5,"[142, 223, 264, 276, 449, 458, 505]"
4667,5,"[142, 264, 276, 301, 449, 458, 569]"
