exer_id:token,cpt_seq:token_seq,assignment_id:token_seq
0,"39,47,48,54","0,1"
1,"32,47,48,53","0,1"
2,"1,25,47,48,49,58","0,1"
3,"24,47,48,58","0,1"
4,"7,47,70,78","0,1"
5,"8,47,70,73","0,1"
6,"1,20,47,48","0,1"
7,"28,47,48,51","0,1"
8,"26,47,48,51","0,1"
9,"8,47,70,73","0,1"
10,"41,47,60,62","0,1"
11,"25,47,48,58","0,1"
12,"47,59,70,72","0,1"
13,"8,47,70,73","0,1"
14,"17,47,70,76","0,1"
15,"32,47,48,53",1
16,"27,47,48,51","0,1"
17,"46,47,70,81","0,1"
18,"25,47,48,58","0,1"
19,"1,47,48,49","0,1"
20,"44,47,70,80","0,1"
21,"30,47,48,53","0,1"
22,"39,47,48,54","0,1"
23,"8,9,47,70","0,1"
24,"25,47,48,58","0,1"
25,"1,20,47,48","0,1"
26,"22,47,70,85","0,1"
27,"35,47,48,53","0,1"
28,"26,47,48,51","0,1"
29,"25,47,48,58","0,1"
30,"2,47,60,61","0,1"
31,"25,47,48,58","0,1"
32,"36,47,48,53","0,1"
33,"32,47,48,53",1
34,"25,47,48,58","0,1"
35,"26,47,48,51","0,1"
36,"8,47,70,73","0,1"
37,"1,21,47,48","0,1"
38,"5,47,60,63","0,1"
39,"12,47,70,72","0,1"
40,"1,47,48,49","0,1"
41,"8,47,70,73","0,1"
42,"36,47,48,53","0,1"
43,"26,47,48,51","0,1"
44,"11,47,70,72","0,1"
45,"24,47,48,58","0,1"
46,"25,47,48,58","0,1"
47,"11,47,70,72","0,1"
48,"46,47,70,81","0,1"
49,"12,47,70,72","0,1"
50,"23,47,48,58","0,1"
51,"6,47,60,64","0,1"
52,"26,27,47,48,51","0,1"
53,"1,20,47,48","0,1"
54,"3,47,60,66","0,1"
55,"1,19,47,48","0,1"
56,"12,47,70,72","0,1"
57,"29,47,48,50","0,1"
58,"30,47,48,53","0,1"
59,"27,47,48,51","0,1"
60,"39,47,48,54","0,1"
61,"29,47,48,50","0,1"
62,"46,47,70,82","0,1"
63,"47,56,60,75","0,1"
64,"7,47,70,78","0,1"
65,"26,47,48,51","0,1"
66,"13,47,70,72","0,1"
67,"46,47,70,82","0,1"
68,"39,47,48,54",0
69,"1,47,48,49","0,1"
70,"46,47,70,82","0,1"
71,"25,47,48,58","0,1"
72,"1,19,47,48","0,1"
73,"36,47,48,53","0,1"
74,"8,47,70,73","0,1"
75,"26,47,48,51","0,1"
76,"4,47,60,68","0,1"
77,"6,47,60,64","0,1"
78,"44,47,70,80","0,1"
79,"24,47,48,58","0,1"
80,"24,47,48,58","0,1"
81,"34,47,48,53","0,1"
82,"40,47,60,65","0,1"
83,"10,47,70,72","0,1"
84,"12,47,70,72","0,1,2"
85,"7,47,70,78","0,1"
86,"27,47,48,51","0,1"
87,"22,47,70,85","0,1"
88,"27,47,48,51","0,1"
89,"47,70,71,72","0,1"
90,"4,47,60,68","0,1"
91,"40,47,60,65","0,1"
92,"1,20,47,48","0,1"
93,"1,20,47,48","0,1"
94,"17,47,70,76","0,1"
95,"17,47,70,76","0,1"
96,"33,47,48,53","0,1"
97,"47,60,65,69","0,1"
98,"27,47,48,51","0,1"
99,"37,47,48,52","0,1"
100,"28,47,48,51","0,1"
101,"26,47,48,51","0,1"
102,"26,47,48,51","0,1"
103,"25,47,48,58","0,1"
104,"26,47,48,51","0,1"
105,"47,59,70,72","0,1"
106,"12,47,70,72","0,1"
107,"35,47,48,53","0,1"
108,"32,47,48,53","0,1"
109,"34,47,48,53","0,1"
110,"47,55,60,75","0,1"
111,"24,47,48,58","0,1"
112,"35,47,48,53","0,1"
113,"34,47,48,53","0,1"
114,"35,47,48,53","0,1"
115,"35,47,48,53","0,1"
116,"12,47,70,72","0,1"
117,"30,47,48,53","0,1"
118,"5,47,60,63","0,1"
119,"4,47,60,68","0,1"
120,"4,47,60,68","0,1"
121,"36,47,48,53","0,1"
122,"4,47,60,68","0,1"
123,"4,47,60,68","0,1"
124,"6,47,60,64","0,1"
125,"8,47,70,77","0,1"
126,"28,47,48,51","0,1"
127,"30,47,48,53","0,1"
128,"35,47,48,53","0,1"
129,"28,47,48,51","0,1"
130,"46,47,70,84","0,1"
131,"34,47,48,53","0,1"
132,"8,47,70,73","0,1"
133,"26,47,48,51","0,1"
134,"24,47,48,58","0,1"
135,"8,47,70,73","0,1"
136,"35,47,48,53","0,1"
137,"47,60,65,69","0,1"
138,"40,47,60,65","0,1"
139,"37,47,48,52","0,1"
140,"36,47,48,53","0,1"
141,"28,47,48,51","0,1"
142,"4,47,60,68","0,1"
143,"24,47,48,58","0,1"
144,"30,47,48,53","0,1"
145,"25,47,48,58","0,1"
146,"17,47,70,76","0,1"
147,"39,47,48,54","0,1"
148,"4,47,60,68","0,1"
149,"35,47,48,53","0,1"
150,"40,47,60,65","0,1"
151,"46,47,70,81,84","0,1"
152,"6,47,60,64","0,1"
153,"33,47,48,53",1
154,"27,47,48,51","0,1"
155,"47,59,70,72","0,1"
156,"8,47,70,73","0,1"
157,"26,47,48,51","0,1"
158,"25,47,48,58","0,1"
159,"4,47,60,68","0,1"
160,"47,60,65,69","0,1"
161,"25,47,48,58","0,1"
162,"41,47,60,62","0,1"
163,"26,47,48,51","0,1"
164,"34,47,48,53","0,1"
165,"27,47,48,51","0,1"
166,"35,47,48,53","0,1"
167,"47,55,60,75","0,1"
168,"28,47,48,51","0,1"
169,"27,47,48,51","0,1"
170,"47,60,65,69","0,1"
171,"12,47,70,72","0,1"
172,"8,47,70,73","0,1"
173,"30,47,48,53","0,1"
174,"47,55,60,75","0,1"
175,"34,47,48,53","0,1"
176,"46,47,70,84","0,1"
177,"25,47,48,58","0,1"
178,"24,47,48,58","0,1"
179,"35,47,48,53","0,1"
180,"35,47,48,53","0,1"
181,"46,47,70,82","0,1"
182,"22,47,70,85","0,1"
183,"24,47,48,58","0,1"
184,"4,47,60,68","0,1"
185,"23,47,48,58","0,1"
186,"25,47,48,58","0,1"
187,"3,47,60,66","0,1"
188,"28,47,48,51","0,1"
189,"28,47,48,51","0,1"
190,"26,27,47,48,51","0,1"
191,"46,47,70,81","0,1"
192,"35,47,48,53","0,1"
193,"2,47,60,61","0,1"
194,"17,47,70,76","0,1"
195,"25,47,48,58","0,1"
196,"5,47,60,63","0,1"
197,"1,20,47,48","0,1"
198,"1,20,47,48","0,1"
199,"24,47,48,58","0,1"
200,"8,47,70,77","0,1"
201,"12,47,70,72","0,1"
202,"22,47,70,85","0,1"
203,"8,9,47,70","0,1"
204,"47,55,60,75","0,1"
205,"46,47,70,84","0,1"
206,"47,60,65,69","0,1"
207,"11,47,70,72","0,1"
208,"30,47,48,53","0,1"
209,"24,47,48,58","0,1"
210,"4,47,60,68","0,1"
211,"26,47,48,51","0,1"
212,"1,20,47,48","0,1"
213,"26,47,48,51","0,1"
214,"11,47,70,72","0,1"
215,"8,47,70,73","0,1"
216,"47,70,71,72","0,1"
217,"4,47,60,68","0,1"
218,"7,47,70,78","0,1"
219,"25,47,48,58","0,1"
220,"37,47,48,52","0,1"
221,"46,47,70,81","0,1"
222,"22,47,70,85","0,1"
223,"28,47,48,51","0,1"
224,"46,47,70,82","0,1"
225,"26,47,48,51","0,1"
226,"1,19,47,48","0,1"
227,"44,47,70,80","0,1"
228,"47,56,60,75","0,1"
229,"44,47,70,80","0,1"
230,"5,47,60,63","0,1"
231,"12,47,70,72","0,1"
232,"47,55,60,75","0,1"
233,"1,47,48,49","0,1"
234,"24,47,48,58","0,1"
235,"47,56,60,75","0,1"
236,"7,47,70,78","0,1,2"
237,"47,55,60,75","0,1"
238,"24,47,48,58","0,1"
239,"34,47,48,53","0,1"
240,"34,47,48,53","0,1"
241,"1,19,47,48","0,1"
242,"24,47,48,58","0,1"
243,"13,47,70,72","0,1"
244,"34,47,48,53","0,1"
245,"42,43,47,70","0,1"
246,"8,47,70,77","0,1"
247,"46,47,70,84","0,1"
248,"1,20,47,48","0,1"
249,"40,47,60,65","0,1"
250,"25,47,48,58","0,1"
251,"13,47,70,72","0,1"
252,"23,47,48,58","0,1"
253,"34,47,48,53","0,1"
254,"27,47,48,51","0,1"
255,"4,47,60,68","0,1"
256,"17,47,70,76","0,1"
257,"1,19,47,48","0,1"
258,"46,47,70,83","0,1"
259,"1,20,47,48","0,1"
260,"26,47,48,51","0,1"
261,"22,47,70,85","0,1"
262,"7,47,70,78","0,1"
263,"25,47,48,58","0,1"
264,"45,47,70,80","0,1"
265,"12,47,70,72","0,1"
266,"34,47,48,53","0,1"
267,"47,56,60,75","0,1"
268,"46,47,70,82","0,1"
269,"36,47,48,53","0,1"
270,"36,47,48,53","0,1"
271,"46,47,70,84","0,1"
272,"8,47,70,73","0,1"
273,"46,47,70,82","0,1"
274,"12,47,70,72","0,1"
275,"7,47,70,78","0,1"
276,"24,47,48,58","0,1"
277,"45,47,70,80","0,1"
278,"24,47,48,58","0,1"
279,"3,47,60,66","0,1"
280,"8,47,70,73,77","0,1"
281,"24,47,48,58","0,1"
282,"25,47,48,58","0,1"
283,"1,47,48,49","0,1"
284,"28,47,48,51","0,1"
285,"1,20,47,48","0,1"
286,"46,47,70,81","0,1"
287,"37,47,48,52","0,1"
288,"8,9,47,70","0,1"
289,"1,19,47,48","0,1"
290,"1,47,48,49","0,1"
291,"2,47,60,61","0,1"
292,"1,20,47,48","0,1"
293,"1,47,48,49","0,1"
294,"32,47,48,53",1
295,"11,47,70,72","0,1"
296,"36,47,48,53","0,1"
297,"40,47,60,65","0,1"
298,"10,47,70,72","0,1"
299,"34,47,48,53","0,1"
300,"22,47,70,85","0,1"
301,"8,47,70,73","0,1"
302,"41,47,60,62","0,1"
303,"27,47,48,51","0,1"
304,"27,47,48,51","0,1"
305,"8,47,70,77","0,1"
306,"47,55,60,75","0,1"
307,"47,70,71,72","0,1"
308,"46,47,70,81,84","0,1"
309,"31,47,48,53","0,1"
310,"25,47,48,58","0,1"
311,"24,47,48,58","0,1"
312,"1,20,47,48","0,1"
313,"34,47,48,53","0,1"
314,"24,47,48,58","0,1"
315,"33,47,48,53","0,1"
316,"46,47,70,81,84","0,1"
317,"17,47,70,76","0,1"
318,"32,47,48,53","0,1"
319,"40,47,60,65","0,1"
320,"10,47,70,72","0,1"
321,"11,47,70,72","0,1"
322,"35,47,48,53","0,1"
323,"14,47,70,74","0,1"
324,"46,47,70,84","0,1"
325,"25,47,48,58","0,1"
326,"1,19,47,48","0,1"
327,"1,20,47,48","0,1"
328,"47,60,65,69","0,1"
329,"36,47,48,53","0,1"
330,"8,47,67,70","0,1"
331,"8,47,70,77","0,1"
332,"23,47,48,58","0,1"
333,"26,47,48,51","0,1"
334,"13,47,70,72","0,1"
